Item,Cost (USD),Notes,Assumptions
TSMC N28 MPW shuttle (shared wafer),50000-150000,"Depends on die size, metal layers, and foundry price-break","Die size ~4 mm², 10 metal layers"
TSMC N28 MPW shuttle (dedicated wafer),150000-250000,"Higher cost for exclusive wafer access","Die size ~4 mm², 10 metal layers"
TSMC N28 full mask set (production),1000000,"One-time NRE for a 3-5 mm² die","Die size ~4 mm², 10 metal layers"
EDA tool licenses (annual),100000-150000,"Synopsys Design Compiler + ICC2; cloud or on-prem","Annual license cost"
SRAM macro generation (ARM Artisan),10000-50000,"Commercial SRAM compiler license","110 KB SRAM required"
Packaging (BGA-168),2000-5000,"High-density package for production volumes","Wire bonding, 168 pins"
Test board and fixtures,5000-10000,"High-speed test environment with JTAG, UART, power","Custom PCB, probe sockets"
Characterization and test,2000-5000,"Basic I/O timing, power measurement","Probe test, functional validation"
Tapeout submission fee,5000-10000,"Foundry processing and mask handling","Administrative cost"
Total upfront cost (MPW),80000-225000,"Sum of MPW shuttle + EDA + SRAM + packaging + test + tapeout","Shared wafer option"
Total upfront cost (full mask),1150000-1225000,"Sum of full mask set + EDA + SRAM + packaging + test + tapeout","Production option"
Per-die cost at 10k units (MPW),15-20,"Wafer cost + yield + packaging + test","80% yield, $3k/wafer, 500 die/wafer"
Per-die cost at 10k units (full mask),10-15,"Wafer cost + yield + packaging + test","80% yield, $3k/wafer, 500 die/wafer"
Amortized mask cost per die (1k units),1000,"Full mask set cost / 1000","Assumes 1k units produced"
Amortized mask cost per die (5k units),200,"Full mask set cost / 5000","Assumes 5k units produced"
Amortized mask cost per die (10k units),100,"Full mask set cost / 10000","Assumes 10k units produced"
Amortized mask cost per die (50k units),20,"Full mask set cost / 50000","Assumes 50k units produced"
Amortized mask cost per die (100k units),10,"Full mask set cost / 100000","Assumes 100k units produced"
Total per-die cost at 1k units (full mask),1010-1015,"Mask amortization + die cost + packaging + test","High per-unit cost at low volume"
Total per-die cost at 10k units (full mask),110-115,"Mask amortization + die cost + packaging + test","Optimal volume for cost reduction"
Total per-die cost at 100k units (full mask),20-25,"Mask amortization + die cost + packaging + test","Lowest per-unit cost at high volume"
Break-even volume (MPW vs full mask),50000,"Volume where full mask set becomes cheaper than MPW per die","Assumes MPW cost $150k, full mask $1M, die cost $15 at MPW, $10 at full mask"
Risk premium (MPW),0-50000,"Additional cost for shared wafer scheduling and priority","Depends on foundry and project timeline"
Risk premium (full mask),0-100000,"Additional cost for mask set redesign and re-spin","Higher risk for production commitment"
Contingency (10%),8000-22500,"For unforeseen costs and delays","10% of upfront cost"
Total project cost (MPW low estimate),88000,"Conservative estimate for shared wafer MPW path","Minimum cost scenario"
Total project cost (MPW high estimate),247500,"Upper bound for shared wafer MPW path","Maximum cost scenario"
Total project cost (full mask low estimate),1230000,"Conservative estimate for production path","Minimum cost scenario"
Total project cost (full mask high estimate),1347500,"Upper bound for production path","Maximum cost scenario"
Assumptions for per-die cost,"","Wafer cost: $3000/wafer; Die size: 4 mm²; Wafer diameter: 300mm; Yield: 80%; Packaging: $3/die; Test: $2/die",""
Break-even analysis formula,"","(Full mask cost - MPW cost) / (MPW per-die cost - Full mask per-die cost)",""
Discount rate for NPV,5%,"For comparing upfront vs per-unit costs over time","Annual discount rate"
Net present value (10k units, full mask),1100000,"Upfront + 10k * per-die cost discounted","5-year horizon, 5% discount rate"
Net present value (10k units, MPW),230000,"Upfront + 10k * per-die cost discounted","5-year horizon, 5% discount rate"
Recommendation,"","Start with SKY130 MPW ($10k) for validation, then evaluate TSMC N28 based on volume requirements",""
